ID,Date,Primary Type,Description,Arrest,Domestic,Community Area,Latitude,Longitude,Date_TS,Month,Day,Hour,Year,Crime_Category
11215212,01/25/2018 07:30:00 PM,ROBBERY,ARMED: HANDGUN,false,false,42,41.778201262,-87.599177537,2018-01-25T19:30:00.000+02:00,1,25,19,2018,Violent
11218421,01/30/2018 12:40:00 PM,BURGLARY,FORCIBLE ENTRY,false,false,30,41.849852628,-87.695392076,2018-01-30T12:40:00.000+02:00,1,30,12,2018,Non-Violent
11205836,01/16/2018 08:05:00 PM,THEFT,$500 AND UNDER,true,false,8,41.911124622,-87.637932903,2018-01-16T20:05:00.000+02:00,1,16,20,2018,Non-Violent
11194857,01/02/2018 10:30:00 PM,BURGLARY,UNLAWFUL ENTRY,false,false,22,41.91758509,-87.686384761,2018-01-02T22:30:00.000+02:00,1,2,22,2018,Non-Violent
11219924,02/01/2018 06:42:00 AM,PROSTITUTION,SOLICIT ON PUBLIC WAY,true,false,56,41.803515121,-87.743044463,2018-02-01T06:42:00.000+02:00,2,1,6,2018,Non-Violent
11210885,01/22/2018 03:00:00 PM,THEFT,$500 AND UNDER,false,false,77,41.9978699,-87.670547769,2018-01-22T15:00:00.000+02:00,1,22,15,2018,Non-Violent
11207419,01/18/2018 03:00:00 PM,CRIMINAL TRESPASS,TO LAND,true,false,24,41.903201873,-87.676593393,2018-01-18T15:00:00.000+02:00,1,18,15,2018,Non-Violent
11203741,01/14/2018 06:06:00 AM,BURGLARY,FORCIBLE ENTRY,true,false,65,41.779593638,-87.732554469,2018-01-14T06:06:00.000+02:00,1,14,6,2018,Non-Violent
11218503,01/30/2018 04:30:00 PM,BATTERY,SIMPLE,false,false,8,41.910022484,-87.63855839,2018-01-30T16:30:00.000+02:00,1,30,16,2018,Violent
11211354,01/22/2018 10:30:00 PM,BURGLARY,UNLAWFUL ENTRY,false,false,71,41.751668628,-87.661857789,2018-01-22T22:30:00.000+02:00,1,22,22,2018,Non-Violent
11210691,01/22/2018 09:00:00 AM,BATTERY,SIMPLE,false,false,19,41.933342907,-87.747832033,2018-01-22T09:00:00.000+02:00,1,22,9,2018,Violent
11192862,01/01/2018 07:24:00 PM,CRIMINAL DAMAGE,TO PROPERTY,false,false,49,41.721136094,-87.616541819,2018-01-01T19:24:00.000+02:00,1,1,19,2018,Non-Violent
11212307,01/22/2018 10:17:00 AM,THEFT,RETAIL THEFT,false,false,30,41.844160231,-87.7313416,2018-01-22T10:17:00.000+02:00,1,22,10,2018,Non-Violent
11210677,01/22/2018 10:07:00 AM,THEFT,$500 AND UNDER,false,false,41,41.790773422,-87.591579126,2018-01-22T10:07:00.000+02:00,1,22,10,2018,Non-Violent
11211673,01/23/2018 09:00:00 AM,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,false,false,67,41.788416273,-87.658368623,2018-01-23T09:00:00.000+02:00,1,23,9,2018,Non-Violent
11205298,01/16/2018 09:00:00 AM,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,false,false,4,41.974455132,-87.686681102,2018-01-16T09:00:00.000+02:00,1,16,9,2018,Non-Violent
11212972,01/24/2018 05:00:00 PM,CRIMINAL DAMAGE,TO VEHICLE,false,false,8,41.905097987,-87.64838335,2018-01-24T17:00:00.000+02:00,1,24,17,2018,Non-Violent
11222768,02/04/2018 10:20:00 AM,CRIMINAL TRESPASS,TO LAND,true,false,8,41.889006322,-87.63661199,2018-02-04T10:20:00.000+02:00,2,4,10,2018,Non-Violent
11193869,01/02/2018 06:00:00 AM,THEFT,$500 AND UNDER,false,false,77,41.988360427,-87.656760817,2018-01-02T06:00:00.000+02:00,1,2,6,2018,Non-Violent
11215576,01/27/2018 08:45:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,false,true,68,41.773752636,-87.631654156,2018-01-27T08:45:00.000+02:00,1,27,8,2018,Violent
11194257,01/03/2018 01:50:00 PM,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,false,true,19,41.917175081,-87.786471,2018-01-03T13:50:00.000+02:00,1,3,13,2018,Violent
11216718,01/24/2018 09:00:00 PM,BURGLARY,UNLAWFUL ENTRY,false,false,5,41.959477421,-87.690619501,2018-01-24T21:00:00.000+02:00,1,24,21,2018,Non-Violent
11203627,01/14/2018 01:30:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,false,true,6,41.932789263,-87.645510903,2018-01-14T01:30:00.000+02:00,1,14,1,2018,Violent
11217751,01/15/2018 02:45:00 PM,THEFT,OVER $500,false,false,27,41.873765737,-87.699296047,2018-01-15T14:45:00.000+02:00,1,15,14,2018,Non-Violent
11210341,01/12/2018 11:05:00 PM,CRIMINAL DAMAGE,TO PROPERTY,false,false,6,41.938882329,-87.661889437,2018-01-12T23:05:00.000+02:00,1,12,23,2018,Non-Violent
11203645,01/14/2018 03:00:00 AM,THEFT,$500 AND UNDER,false,false,6,41.943844128,-87.649380278,2018-01-14T03:00:00.000+02:00,1,14,3,2018,Non-Violent
11202581,01/12/2018 02:30:00 PM,THEFT,$500 AND UNDER,false,false,73,41.713753878,-87.642987258,2018-01-12T14:30:00.000+02:00,1,12,14,2018,Non-Violent
11207717,01/18/2018 10:12:00 PM,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,false,false,52,41.69841234,-87.532867444,2018-01-18T22:12:00.000+02:00,1,18,22,2018,Violent
11209318,01/16/2018 07:00:00 AM,MOTOR VEHICLE THEFT,AUTOMOBILE,false,false,8,41.8926701,-87.628106353,2018-01-16T07:00:00.000+02:00,1,16,7,2018,Non-Violent
11216985,01/28/2018 06:30:00 PM,THEFT,$500 AND UNDER,false,false,7,41.91753707,-87.635537499,2018-01-28T18:30:00.000+02:00,1,28,18,2018,Non-Violent
11196007,01/05/2018 12:27:00 PM,THEFT,RETAIL THEFT,false,false,8,41.899734047,-87.624142375,2018-01-05T12:27:00.000+02:00,1,5,12,2018,Non-Violent
